Province_State,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020
AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4113,4336,4336
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9645,10290,11220
AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6148,6544,6717
AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39586,39586,42586
BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12406,13484,14228
CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46361,48659,50537
DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8966,9782,10403
ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11192,11892,12725
GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23272,25120,26795
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,1597,1697
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,1227,1360
MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6857,7363,7816
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44244,46694,49651
PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4340,4671,4671
PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2558,2744,2887
PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23417,23723,25569
PI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,622,641
RN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1824,1824,1096
RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8587,10410,10906
RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53445,56552,57933
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3131,3364,3504
RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537,1569,1579
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6931,7828,8203
SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49295,49295,49295
SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4525,4575,4575
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,2986,2986
